Listing Position,Title,Brand,MRP,Price,Average Rating Score,Count of Ratings,Count of Reviews,Product URL,Image_url
189,KODAK CA-Pro 126 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos,Kodak,41999.0,24999.0,5.0,9,4,https://www.croma.com/kodak-ca-pro-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-atmos/p/274377,https://media.croma.com/image/upload/v1722276533/Croma%20Assets/Entertainment/Television/Images/274377_0_rcfeul.png
190,SONY X82L 163.9 cm (65 inch) 4K Ultra HD LED Google TV with Live Colour Technology (2023 model),Sony,164900.0,102590.0,5.0,1,1,https://www.croma.com/sony-x82l-163-9-cm-65-inch-4k-ultra-hd-led-google-tv-with-live-colour-technology-2023-model-/p/273820,https://media.croma.com/image/upload/v1722285768/Croma%20Assets/Entertainment/Television/Images/273820_0_ba9oki.png
191,TCL P755 Pro 165 cm (65 inch) 4K UHD  QLED Smart Google TV with Dolby Atmos (2024 model),Tcl,129990.0,56990.0,0.0,0,0,https://www.croma.com/tcl-p755-pro-165-cm-65-inch-4k-uhd-qled-smart-google-tv-with-dolby-atmos-2024-model-/p/306526,https://media.croma.com/image/upload/v1716469655/Croma%20Assets/Entertainment/Television/Images/306526_mbx2dh.png
192,TOSHIBA C450 126 cm (50 inch) 4K Ultra HD QLED VIDAA TV with Dolby Vision and Dolby Atmos,Toshiba,59999.0,32999.0,0.0,0,0,https://www.croma.com/toshiba-c450-126-cm-50-inch-4k-ultra-hd-qled-vidaa-tv-with-dolby-vision-and-dolby-atmos/p/307654,https://media.croma.com/image/upload/v1719283455/Croma%20Assets/Entertainment/Television/Images/307654_indw1p.png
193,SONY Bravia 3 127 cm (50 inch) LED 4K Ultra HD Google TV with Dolby Vision & Dolby Atmos (2024 model),Sony,114900.0,79790.0,1.0,1,1,https://www.croma.com/sony-bravia-3-127-cm-50-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-dolby-atmos-2024-model-/p/308064,https://media.croma.com/image/upload/v1720974191/Croma%20Assets/Entertainment/Television/Images/308064_vomtdp.png
194,BLAUPUNKT 65QD7030 164 cm (65 inch) QLED 4K Ultra HD Google TV with Quantum Dot Technology (2022 model),Blaupunkt,84999.0,46999.0,3.5,6,4,https://www.croma.com/blaupunkt-65qd7030-164-cm-65-inch-qled-4k-ultra-hd-google-tv-with-quantum-dot-technology-2022-model-/p/303337,https://media.croma.com/image/upload/v1722278425/Croma%20Assets/Entertainment/Television/Images/303337_0_eg19ex.png
195,BLAUPUNKT Quantum Dot 108 cm (43 inch) QLED 4K Ultra HD Google TV with DTS TruSurround (2023 model),Blaupunkt,33999.0,20999.0,4.0555555556,18,15,https://www.croma.com/blaupunkt-quantum-dot-108-cm-43-inch-qled-4k-ultra-hd-google-tv-with-dts-trusurround-2023-model-/p/303334,https://media.croma.com/image/upload/v1722278179/Croma%20Assets/Entertainment/Television/Images/303334_0_qhlwss.png
196,Foxsky 127 cm (50 inch) 4K Ultra HD LED Smart Android TV with Google Assistant (2021 model),Foxsky,82990.0,18999.0,2.2631578947,19,18,https://www.croma.com/foxsky-127-cm-50-inch-4k-ultra-hd-led-smart-android-tv-with-google-assistant-2021-model-/p/258796,https://media.croma.com/image/upload/v1722285174/Croma%20Assets/Entertainment/Television/Images/258796_0_zw7hvj.png
197,acer I Series 109 cm (43 inch) 4K Ultra HD LED Smart Android TV with Google Assistant (2022 model),Acer,34990.0,23999.0,4.3220338983,59,53,https://www.croma.com/acer-i-series-109-cm-43-inch-4k-ultra-hd-led-smart-android-tv-with-google-assistant-2022-model-/p/255843,https://media.croma.com/image/upload/v1722278954/Croma%20Assets/Entertainment/Television/Images/255843_0_r7atiq.png
198,acer Advanced I Series 139 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Audio (2023 model),Acer,59999.0,31999.0,3.5384615385,13,13,https://www.croma.com/acer-advanced-i-series-139-cm-55-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-audio-2023-model-/p/274277,https://media.croma.com/image/upload/v1722280519/Croma%20Assets/Entertainment/Television/Images/274277_0_u4ddtp.png
199,TOSHIBA M550MP 139 cm (55 inch) QLED 4K Ultra HD Google TV with Dolby Vision and Dolby Atmos,Toshiba,69999.0,40999.0,0.0,0,0,https://www.croma.com/toshiba-m550mp-139-cm-55-inch-qled-4k-ultra-hd-google-tv-with-dolby-vision-and-dolby-atmos/p/306062,https://media.croma.com/image/upload/v1722284710/Croma%20Assets/Entertainment/Television/Images/306062_0_eigbb4.png
200,SAMSUNG Crystal 4K iSmart 163 cm (65 inch) 4K Ultra HD LED Tizen TV with Crystal Processor 4K,Samsung,116900.0,64990.0,0.0,0,0,https://www.croma.com/samsung-crystal-4k-ismart-163-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-4k/p/274148,https://media.croma.com/image/upload/v1722281281/Croma%20Assets/Entertainment/Television/Images/274148_0_p6xrf6.png
201,TOSHIBA C350MP 126 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Vision and Dolby Atmos ,Toshiba,54999.0,31999.0,5.0,1,1,https://www.croma.com/toshiba-c350mp-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-and-dolby-atmos-/p/306076,https://media.croma.com/image/upload/v1712472250/Croma%20Assets/Entertainment/Television/Images/306076_oibikt.png
202,Hisense A6K 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Atmos,Hisense,44999.0,24999.0,3.1428571429,7,4,https://www.croma.com/hisense-a6k-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-atmos/p/275457,https://media.croma.com/image/upload/v1722277029/Croma%20Assets/Entertainment/Television/Images/275457_0_m5vxnb.png
203,SAMSUNG LS 125 cm (50 inch) QLED 4K Ultra HD Tizen TV with Dolby Digital Plus,Samsung,134900.0,49990.0,0.0,0,0,https://www.croma.com/samsung-ls-125-cm-50-inch-qled-4k-ultra-hd-tizen-tv-with-dolby-digital-plus/p/245391,https://media.croma.com/image/upload/v1702216485/Croma%20Assets/Entertainment/Television/Images/245391_fyyvk6.png
204,Hisense E7K 126 cm (50 inch) QLED 4K Ultra HD VIDAA TV with Dolby Vision and Dolby Atmos (2023 model),Hisense,59999.0,30999.0,5.0,1,1,https://www.croma.com/hisense-e7k-126-cm-50-inch-qled-4k-ultra-hd-vidaa-tv-with-dolby-vision-and-dolby-atmos-2023-model-/p/305465,https://media.croma.com/image/upload/v1722275235/Croma%20Assets/Entertainment/Television/Images/305465_0_oil8az.png
205,Hisense A6K 126 cm (50 inch) 4K Ultra HD LED Google TV with Dolby Atmos,Hisense,59999.0,29999.0,3.0,2,2,https://www.croma.com/hisense-a6k-126-cm-50-inch-4k-ultra-hd-led-google-tv-with-dolby-atmos/p/275458,https://media.croma.com/image/upload/v1722277102/Croma%20Assets/Entertainment/Television/Images/275458_0_agc702.png
